customer_id,customer_name,customer_tier,home_city,signup_date,is_active
C00001,Vikram_1,BRONZE,Mumbai,2025-03-26,Y
C00002,Rahul_2,SILVER,Ahmedabad,2023-03-01,Y
C00003,Arjun_3,SILVER,Kolkata,2025-07-23,Y
C00004,Neha_4,BRONZE,Chennai,2025-08-11,Y
C00005,Vikram_5,SILVER,Jaipur,2024-07-01,Y
C00006,Riya_6,BRONZE,Jaipur,2023-06-21,Y
C00007,Riya_7,SILVER,Ahmedabad,2024-02-09,Y
C00008,Neha_8,PLATINUM,Chennai,2025-11-01,Y
C00009,Karan_9,GOLD,Ahmedabad,2025-02-20,Y
C00010,Riya_10,BRONZE,Pune,2025-10-09,Y
C00011,Neha_11,BRONZE,Bangalore,2023-09-26,Y
C00012,Arjun_12,BRONZE,Bangalore,2023-03-02,Y
C00013,Amit_13,BRONZE,Delhi,2024-09-04,Y
C00014,Vikram_14,BRONZE,Delhi,2024-06-08,Y
C00015,Rahul_15,SILVER,Pune,2023-08-25,Y
C00016,Priya_16,BRONZE,Ahmedabad,2025-06-15,Y
C00017,Vikram_17,BRONZE,Jaipur,2025-04-12,Y
C00018,Neha_18,GOLD,Jaipur,2023-03-13,Y
C00019,Neha_19,SILVER,Noida,2024-04-03,Y
C00020,Riya_20,SILVER,Noida,2024-04-05,Y
C00021,Neha_21,BRONZE,Hyderabad,2023-11-20,Y
C00022,Priya_22,SILVER,Mumbai,2024-09-22,Y
C00023,Anuj_23,SILVER,Delhi,2023-02-26,Y
C00024,Rahul_24,GOLD,Delhi,2024-03-10,Y
C00025,Sneha_25,BRONZE,Mumbai,2023-04-19,Y
C00026,Sneha_26,BRONZE,Bangalore,2023-09-09,Y
C00027,Karan_27,GOLD,Bangalore,2023-03-24,Y
C00028,Vikram_28,BRONZE,Chennai,2025-03-15,Y
C00029,Anuj_29,BRONZE,Bangalore,2025-09-05,Y
C00030,Vikram_30,BRONZE,Delhi,2023-09-08,Y
C00031,Anuj_31,SILVER,Delhi,2023-11-01,Y
C00032,Arjun_32,BRONZE,Mumbai,2024-05-05,Y
C00033,Priya_33,BRONZE,Kolkata,2023-03-17,Y
C00034,Priya_34,SILVER,Delhi,2023-04-23,Y
C00035,Anuj_35,BRONZE,Hyderabad,2023-01-22,Y
C00036,Priya_36,BRONZE,Pune,2025-08-04,Y
C00037,Rahul_37,BRONZE,Pune,2025-09-15,Y
C00038,Arjun_38,BRONZE,Pune,2023-03-24,Y
C00039,Sneha_39,SILVER,Ahmedabad,2023-07-01,Y
C00040,Sneha_40,BRONZE,Chennai,2023-04-12,Y
C00041,Riya_41,BRONZE,Hyderabad,2024-10-06,Y
